,city,country,lat,lng,rank,country code,genre,top_genres,scale_rank,market_importance
497,crewe,united kingdom,51.0167,-1.3167,1559,GB,uk hiphop,10,0.423656003,4.236560034
853,high wycombe,united kingdom,35.9902,-79.9938,1560,GB,uk hiphop,10,0.423315056,4.233150556
765,grimsby,united kingdom,53.5333,-0.05,1428,GB,uk hiphop,9,0.468706755,4.218360795
1249,mandurah western australia,australia,-29.2828,114.9166,1680,AU,"australian hiphop, australian underground hiphop",11,0.3827409,4.210149896
313,burwood new south wales,australia,-31.445,152.9187,1056,AU,"australian underground hiphop, australian hiphop",7,0.600496358,4.203474504
2216,wakefield,united kingdom,53.7,-1.4833,1434,GB,uk hiphop,9,0.466626953,4.199642576
1529,palmdale california,united states,40.0692,-79.9152,1059,US,"southern hiphop, hiphop",7,0.599412375,4.195886625
137,bakersfield california,united states,40.0692,-79.9152,418,US,southern hiphop,5,0.83788276,4.189413801
1915,southend-on-sea,united kingdom,51.55,0.72,1573,GB,uk hiphop,10,0.418886908,4.188869081
342,caloundra queensland,australia,-26.8,153.1333,1691,AU,"australian hiphop, australian underground hiphop",11,0.379056144,4.169617589
1957,sumrall mississippi,united states,31.2564,-89.8266,434,US,southern hiphop,5,0.831774267,4.158871336
2220,wandsworth,united kingdom,51.45,-0.2,1449,GB,uk hiphop,9,0.461434212,4.152907907
2114,uxbridge,united kingdom,51.55,-0.4833,2059,GB,"uk hiphop, uk alternative hiphop",16,0.259494751,4.151916023
268,brantford,canada,48.4462,-89.275,1077,CA,canadian hiphop,7,0.592915352,4.150407461
721,gilbert arizona,united states,33.3103,-111.7463,450,US,underground hiphop,5,0.825673242,4.128366209
1664,rancho cordova california,united states,38.5739,-121.2521,455,US,southern hiphop,5,0.823768209,4.118841043
411,chatham,united kingdom,40.7405,-74.3838,1624,GB,uk hiphop,10,0.401590678,4.015906783
1350,morphett vale south australia,australia,-30.8996,135.3,1737,AU,"australian underground hiphop, australian hiphop",11,0.363712196,4.000834156
748,granby,canada,48.4462,-89.275,1832,CA,"hiphop quebecois, french hiphop",12,0.332366267,3.988395199
882,houston texas,united states,29.7868,-95.3905,8,US,southern hiphop,4,0.996853285,3.987413141
89,applecross western australia,australia,-29.2828,114.9166,1643,AU,"australian underground hiphop, australian hiphop",10,0.395178319,3.951783192
1924,st helens,united kingdom,53.45,-2.7333,1524,GB,uk hiphop,9,0.435617816,3.920560342
751,gravesend,united kingdom,51.0167,-1.3167,1653,GB,uk hiphop,10,0.391810328,3.918103284
1734,rotherhithe,united kingdom,51.0167,-1.3167,1655,GB,uk hiphop,10,0.391137308,3.911373076
1916,southport queensland,australia,53.6667,-3,1529,AU,"australian underground hiphop, australian hiphop",9,0.433905594,3.90515035
1094,lancaster,united kingdom,32.5922,-96.7737,1373,GB,uk hiphop,8,0.487842764,3.902742114
1090,lakemba new south wales,australia,-31.445,152.9187,927,AU,australian hiphop,6,0.647411166,3.884466999
